Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Stop and search by ethnicity,268654235c9800ca2e08590c15dcec3d76e848bf,18A,Yes,No,No,2001 census: 16 categories (plus 'unknown'),Policing,Stop and search
Stop and search by ethnicity and area,57498b4a63fc54f6e4a0218ee739ec58ef0701ef,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Policing,Stop and search
Confidence in the local police by ethnicity,ac100ddb529d0030d531843a7b3acc0bef815081,18A,Yes,Yes,No,2011 census: 18 categories,Policing,Confidence in the local police
Confidence in the local police by ethnicity and gender,ccfa4005db4e5797000818b8df239a19f1bc0d5e,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Policing,Confidence in the local police
Confidence in the local police by ethnicity and age,e814fc51c621001a65efa76ac5ea902e6e4a1b30,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Policing,Confidence in the local police
Confidence in the police by ethnicity and socio-economic group,e738c9fa1f4fcca72733eabd5175bf883d6d1317,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Policing,Confidence in the local police
Young people given youth cautions by ethnicity,17628f0797aa01dd6af59953a1dbfbd8387088ba,5B,N/A,No,Yes,"Asian, Black, White, Mixed, Other",Policing,Youth cautions
Number of arrests by ethnicity,04dda61c48644872e0d0c06c3ed2378591f8c7f1,5B,N/A,Yes,Yes,"Asian, Black, White, Mixed, Other",Policing,Number of arrests
Number of arrests by ethnicity and area,6ffd5fec5ec06087a6349e1353cf23c590d0c2f0,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Policing,Number of arrests
Number of arrests by ethnicity and gender,3be124627e60f8a057eb427ba846cde95cfcdd68,5B,N/A,Yes,Yes,"Asian, Black, White, Mixed, Other",Policing,Number of arrests
Victims of crime by ethnicity,67ee9f7b1bbbe4c6613d2c2ae9388edb489b66aa,18A,Yes,Yes,No,2011 census: 18 categories,Crime and reoffending,Victims of crime
Victims of crime by ethnicity and gender,f02f3068a106850f5054eafc02613529da8200eb,5B,No,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Victims of crime
Victims of crime by ethnicity and age,9d8a9f5ba86d890c06ca6d4d7a15cd60a2a5ab46,5B,No,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Victims of crime
Victims of crime by ethnicity and socio-economic group,8081a9ca2f3bb8caa5b2207118c92f2699bb111c,5B,No,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Victims of crime
Fear of crime by ethnicity,1b878671f23af3d16f4834add20c595483b47900,18A,Yes,Yes,No,2011 census: 18 categories,Crime and reoffending,Fear of crime
Fear of crime by ethnicity and gender,f1b3e174d0178959f68968f6ca924965169e84bc,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Fear of crime
Fear of crime by ethnicity and age,504eb7d8d073d8540a6b7fdba2dba5cb242bf407,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Fear of crime
Fear of crime by ethnicity and socio-economic group,482d699fb815c8fbe4b90690531fc266c503cbf4,5B,N/A,No,No,"Asian, Black, White, Mixed, Other",Crime and reoffending,Fear of crime
"Average number of reoffences per offender, by ethnicity",b2da11a51b2e8c98df2f0e17d2b60bf832b81d6f,4A,N/A,No,Yes,"Asian, Black, White, Other",Crime and reoffending,Average number of reoffences per criminal offender
"Average number of reoffences per offender, by ethnicity and area",fcf5d428e05d8d92ffdb7bd3239b15018603421a,4A,N/A,No,Yes,"Asian, Black, White, Other",Crime and reoffending,Average number of reoffences per criminal offender
"Average number of reoffences per offender, by ethnicity and age",6492a884b83bed6f2ab342a296bdf1a103ed99cd,4A,N/A,No,Yes,"Asian, Black, White, Other",Crime and reoffending,Average number of reoffences per criminal offender
Percentage of offenders who reoffend by ethnicity,8f9fc66358b52b3a7c3069ccca47df4dce9ff658,4A,N/A,No,Yes,"Asian, Black, White, Other",Crime and reoffending,Rates of criminal reoffending
Percentage of offenders who reoffend by ethnicity and area,7d1efd3d137a8eb3575edbf91dd0f0e3f131ec3c,4A,N/A,No,Yes,"Asian, Black, White, Other",Crime and reoffending,Rates of criminal reoffending
Percentage of offenders who reoffend by ethnicity and age,978c2f464e78668fde0c1d5165588525f22f3180,4A,N/A,Yes,Yes,"Asian, Black, White, Other",Crime and reoffending,Rates of criminal reoffending
Employment tribunal claims by ethnicity of claimant,14dcc4ad9b97cc20192fbcd84a3708d9306959a6,5B,N/A,No,Yes,"Asian, Black, White, Mixed, Other","Courts, sentencing and tribunals",Employment tribunal claims
Legal Aid by Scheme,261fac0c55b30b069656189a32b2a6e23135551d,2A,N/A,No,Yes,"White, Other","Courts, sentencing and tribunals",Legal Aid
Conviction ratio by ethnicity of defendant over time,f3e3c1e36ea5e851f6555e385d46fb7916e31ebd,5A,No,Yes,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Prosecutions and convictions
Conviction ratio by ethnicity and sex of defendant,d21d4c892c52262d4d01dde17ef91c641f2cd2f4,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Prosecutions and convictions
Conviction ratio by ethnicity and age group of defendant,7f365c30f1efebde284bbbea4d7848b751bfd61c,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Prosecutions and convictions
Remand status at Crown Court by ethnicity,b660fed4854bda731e838079f79be019cc53e58d,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Remand status at Crown Court
Remand status at Crown Court by ethnicity and gender,ff1de44ae9f05f288652defb6885dae34aec8743,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Remand status at Crown Court
Remand status at Crown Court by ethnicity and age group,c15f7ca04c5bca6b6916ffc66278a172a3fce9d8,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Remand status at Crown Court
Offenders sentenced for indictable offences by ethnicity,249ef3d8a7b80b19b81b39aaa189aea73ce6601a,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
