Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Fixed period exclusions by ethnicity,d0ec04a0044e02f4945672b09d457e9f77ff6bd1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity,39fd9a7dedccdcf1f4c638e8136d572ccd214bb3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity,a452f38cec1729b82f7403ab09fa3508353ccbc3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and local authority,d9f8707b21f4f65b03085dd0385c8ff1ab3fbc6e,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and local authority,b238ede31078662d9ea4348db0851682c812ab4c,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and local authority,f5fca8275799b5a263a2825198899c4420a2aebb,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and type of school,f49729bf5f88fc07c67599387fd48408e06ba688,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and type of school,65e13aae65cafea6236491f20c0ebf289a0193c5,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and type of school,b6ac4f79d21a229771acda359e3a359c5c265307,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity,11a37d8003686e8641d124fe9172ddb9140833da,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity,1477ae480d791896710babf4812bdf704de319b1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity,0e2d63cc10254b3cbf9853ae886eb64ce29aa681,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity,dedc7083115364fc90e4d7e06151537dc8e48176,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and local authority,24927639fe8855c9fb7fa3b77936f1df60651157,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and local authority,3dfd0a5e7ac7a8553e157f3730bec89787926614,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and local authority,28787c9541f3dd6f45965ac5b79206c04be33a06,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and local authority,4d0ab1d51e03adb288a08482b3c0911191e8cbde,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and type of school,5851b6d7f8506bb7ab6eda397a217d5fc561f52b,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and type of school,055f8fad73939034b6ed6b584a6ac949931e352d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and type of school,bf0aed22ac3d1bde009d4edbd46dfd3192d085c6,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and type of school,374e80f2ca9fcb17442bfc605a490ec9c2700532,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Temporary exclusions by ethnicity,e40cd9529f2ad34c1cfb29e0fef1fdcd9259dcbf,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Temporary exclusions by ethnicity and local authority,1421af622e1086e4cbc3c5bb283bb558fea4daa4,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Temporary exclusions by ethnicity and type of school,be255a7bd088ce4452c73dab25f7451f1acc66de,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Head teachers by ethnicity and gender,0ee2a3c8efdb39d4d35878bf50f7f60eac876d42,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Head teachers by ethnicity and gender,b306966a4ce59185cd656793e115844327398721,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Headteacher workforce by ethnicity and gender,78c0c8711466e9a5fc7b97d22a1ac07f52c0996a,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
School teacher workforce by ethnicity,f38805723df158603871063744cba97374e59dc7,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
School teacher workforce by ethnicity and gender,0cb85ce6d2e7f33c29ee907fd83d50fe6058e43a,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
School teacher workforce by ethnicity and grade,832ea6a363494d134e1d28f6af96b7005f462d1a,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
School teacher workforce by ethnicity and type of school,0011b91a0352d0ce4f73f61f83163b58c8ba8b54,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity,efce63f6e23a0c55a3ca3ab1062e2864689c38b1,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity,c35f2ebcc2719b694368dd379da6f9f8380546e5,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and gender,fa4d2a161a10b6f744a1ade47695e39b7e18f9f5,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and gender,358bb23efff9470864c498f63669fe6b4630c8ca,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and grade,04a14faf95311ac5f665c8aaa716107eaf076e6b,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and grade,8c0125d41f76a893354757036fee576c836ee367,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and type of school,a49f012cdb284b645fb158c6e0ce6fddf7433f68,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and type of school,38102b3cfa8dbdcb392ec70f05b5ea411563dfbd,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Overall absence by ethnicity,372a1287f7701bb0a69b11dbb67fd6ab2baf1cbb,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity,fa5bebaae6081b81eef63fc57443f672bccd55fd,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity,710302bb31fe0746fe56b34c903fd430e2968e76,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity and local authority,4cbf0c7bb8ed872cf2460d8b44fbbb8d67d4e932,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Overall absence by ethnicity and local authority,59a4e1b86c6ea8bb3ddc214edee2a9b37d035b57,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Overall absence by ethnicity and local authority,628e1ac7d1d0bbc559f569a74cf78367e8e65e46,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Overall absence by ethnicity and type of school,25bfd6d434b1c20cd5837a0f8f63910bbe782f9a,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity and type of school,28584dc7c50af16f37e17437475cf4d6d7495c91,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity and type of school,0f7570ade9b576845b39be5a02c18f749d58b7d2,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity,549cf475b842dd31ada3cdb60addf790463a7040,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity,87b9a1984de68e714c64390662d660a2b941aff3,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity,8bacfd1a8587da65efa03992b4dd33573eca4f5c,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity and local authority,7da93587aca00ac0f86ca755aacfadeeff0ec24a,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Persistent absence by ethnicity and local authority,e1fd64907e21fed13fc19b35ceca6abab5bc8c3d,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Persistent absence by ethnicity and local authority,886b0066dab7da2ccd5bcba6b733b59769b3feda,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Persistent absence by ethnicity and type of school,e3c098328cd40318e804c78a274e65fbf062459d,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity and type of school,05f6107f1b2be974e2c428ce7cfa4462a1980928,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity and type of school,dac194b87cf13ffe1c466e94c24fc39d6983ee7d,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Households in fuel poverty by ethnicity over time,6754dc185611527a6bc33993017722f94b15a3d3,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty
Households in fuel poverty by ethnicity over time,63a88b4f8044c4aa641ba1b62ba0fcfe980af4aa,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty
Households in fuel poverty by ethnicity over time,770164a7b2d6d902f4ae66630e833ce90109477b,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty
Average fuel poverty gap by ethnicity over time,2dcbb74943f889906ed92844210c2fc6fbe05afe,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty gap
Average fuel poverty gap by ethnicity over time,265f67c8821ef05b2bbc7bf85b881222770032d8,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty gap
Average fuel poverty gap by ethnicity over time,48237e6cd1bbe6f0b84d0020de1bc0b56d7847c9,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty gap
Employment by sector and ethnicity,1447fe8e62c4fd71ddb34614e1273e3638d73b60,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Employment,Employment by sector
Employment by sector by ethnicity,a81f52be86415628cd4c269070e30b15b6a2f05a,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Employment,Employment by sector
Employment by sector by ethnicity,1dd47b24da99cfb926eebf7121458ca95c9f51ac,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Employment,Employment by sector
Average hourly pay by ethnicity,27cb01a3836fe6350d9a2cbd46c8411ee885735b,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Pay and income,Average hourly pay
Average hourly pay by ethnicity,9580817d019a1f6ebb905512e9ea4e4b6b2bad2a,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Pay and income,Average hourly pay
Self-employment by ethnicity over time,1d0aa59a4c94377085dc83f290197eb36761b18f,6D,No,No,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Business and self-employment,Self-employment
Self-employment in the UK by ethnicity over time,57855c7fe4496451a387bf2ebc70267a66fb5ccb,6D,No,No,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Business and self-employment,Self-employment
Internet use by ethnicity,b1f2692d8ef7a667303ba038eff314dc97e310a7,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity,ebf815981e09dc5cf9a63eb3bf0b8fbcce8ddee5,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and age,def231ce5d6a7421d09c807c9c918da939e658b0,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and age group,d4b6476e44c1427fa425df79f41b43dc9bead45b,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and area,6f3cf4160b4cf799c1fb159fbf661ac70d6279c2,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and area,8e533771b5aebacc89276f4597da25d30acf7064,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Civil servants' median pay by ethnicity and area,b656fcca703b9295323f3fb58e47f04a65741adc,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil servants' median pay by ethnicity and grade,5b1505f23af29a03416da12808af7344d138f230,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity,e9a92a3fefe892ba88a5e311f5ef3b3f1bb66e37,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity and age group,2cfc497621710147c2ab5c3b033f45049f838cb8,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity and area,f9e9d5c47a8d02a2a893d46f7027271f2c4a30ed,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity and gender,aff568fecf8d0d9f0d1a4967b2091f55cb1cbc61,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity and grade,41d04e157c7291aca3139bce50edfa1e93ede5c3,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Median pay by ethnicity and grade,e4b169c3531d0f3a63cd9ccfdc2b003ea7ad57f2,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Median pay by ethnicity and grade,8895758397826c9c4f9334791ccd581fe04ef29f,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Median pay by ethnicity and region,3bf8a8afd2bd4a4c1421d2f223611187072b18ec,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
